Predictor,"b (SE)","95% CI","β",p
Intercept,"+312.65 (59.75)","[193.8, 431.6]",—,<.001
ICTSUBJ,"−4.21 (0.86)","[−5.92, −2.50]",−0.050,<.001
ICTHOME,"+1.85 (0.75)","[0.36, 3.34]",+0.027,.0157
ESCS,"+15.03 (1.28)","[12.49, 17.57]",+0.159,<.001
MATHEF21,"+8.54 (1.05)","[6.45, 10.62]",+0.104,<.001
ANXMAT,"−11.82 (0.83)","[−13.48, −10.17]",−0.163,<.001
TEACHSUP,"−0.71 (0.81)","[−2.33, 0.90]",−0.010,".382 (n.s.)"
DISCLIM,"+0.98 (1.09)","[−1.19, 3.14]",+0.013,".372 (n.s.)"
BELONG,"+4.66 (0.90)","[2.87, 6.46]",+0.054,<.001
"Gender (ST004D01T, male vs. female)","−0.71 (1.84)","[−4.36, 2.95]",−0.005,".702 (n.s.)"
AGE,"+11.54 (3.62)","[4.33, 18.75]",+0.042,.0021
GRADE,"−1.03 (2.69)","[−6.38, 4.31]",−0.007,".702 (n.s.)"
"Private school (vs. public)","−16.76 (7.22)","[−31.14, −2.39]",−0.060,.0228
SMRATIO,"−0.62 (0.13)","[−0.88, −0.35]",−0.131,<.001
RATCMP1,"+1.03 (1.06)","[−1.08, 3.15]",+0.014,".334 (n.s.)"
DIGDVPOL,"+3.39 (2.25)","[−1.08, 7.87]",+0.040,".136 (n.s.)"
DIGPREP,"+4.29 (2.15)","[0.00, 8.57]",+0.044,.0497
MTTRAIN,"−1.22 (4.65)","[−10.47, 8.03]",−0.008,".794 (n.s.)"
NEGSCLIM,"−3.02 (1.04)","[−5.08, −0.96]",−0.069,.0046
SCHSEL,"−0.41 (2.28)","[−4.95, 4.13]",−0.004,".858 (n.s.)"